"","external_gene_name","ensembl_gene_id"
"1","Spib","ENSRNOG00000019660"
"2","Tead1","ENSRNOG00000015488"
"3","Irf3","ENSRNOG00000043388"
"4","Mef2c","ENSRNOG00000033134"
"5","Mef2a","ENSRNOG00000047756"
"6","Hnf4a","ENSRNOG00000008895"
"7","Gfi1b","ENSRNOG00000011353"
"8","Pax8","ENSRNOG00000026203"
"9","Pbx3","ENSRNOG00000022162"
"10","Myb","ENSRNOG00000055858"
"11","Prdm14","ENSRNOG00000021792"
"12","Tcf21","ENSRNOG00000016700"
"13","Sox6","ENSRNOG00000020514"
"14","Bach2","ENSRNOG00000006170"
"15","Atf2","ENSRNOG00000001597"
"16","Ppara","ENSRNOG00000021463"
"17","Mafa","ENSRNOG00000007668"
"18","Bhlhe41","ENSRNOG00000048961"
"19","Fosl2","ENSRNOG00000068412"
"20","Nfe2l2","ENSRNOG00000001548"
"21","Maff","ENSRNOG00000012886"
"22","Lef1","ENSRNOG00000010121"
"23","Smad3","ENSRNOG00000008620"
"24","Fos","ENSRNOG00000008015"
"25","Batf","ENSRNOG00000008588"
"26","Hoxa9","ENSRNOG00000064322"
"27","Vdr","ENSRNOG00000054420"
"28","Atf4","ENSRNOG00000017801"
"29","Stat6","ENSRNOG00000025023"
"30","Stat4","ENSRNOG00000014079"
"31","Pax7","ENSRNOG00000018739"
"32","Tbx20","ENSRNOG00000016181"
"33","Foxl2","ENSRNOG00000017190"
"34","Pax5","ENSRNOG00000024729"
"35","Rarg","ENSRNOG00000012499"
"36","Prdm10","ENSRNOG00000007853"
"37","Mafb","ENSRNOG00000016037"
"38","Atf1","ENSRNOG00000061088"
"39","Rora","ENSRNOG00000027145"
"40","Atf7","ENSRNOG00000015269"
"41","Lhx1","ENSRNOG00000002812"
"42","Hoxb13","ENSRNOG00000007491"
"43","Tbx21","ENSRNOG00000009427"
"44","Hic1","ENSRNOG00000057619"
"45","Hlf","ENSRNOG00000067479"
"46","Erg","ENSRNOG00000001652"
"47","Prdm15","ENSRNOG00000001620"
"48","Otx2","ENSRNOG00000065063"
"49","Atf3","ENSRNOG00000003745"
"50","Irf4","ENSRNOG00000061070"
"51","Prdm1","ENSRNOG00000000323"
"52","Rara","ENSRNOG00000009972"
"53","Tcf7","ENSRNOG00000005872"
"54","Runx1","ENSRNOG00000001704"
"55","Zbtb18","ENSRNOG00000004423"
"56","Mafk","ENSRNOG00000065794"
"57","Mafk","ENSRNOG00000001277"
"58","Thra","ENSRNOG00000009066"
"59","Klf6","ENSRNOG00000016885"
"60","Eomes","ENSRNOG00000042140"
"61","Irf2","ENSRNOG00000009824"
"62","Cdx4","ENSRNOG00000002974"
"63","Irf1","ENSRNOG00000008144"
"64","Ebf1","ENSRNOG00000028845"
"65","Gata4","ENSRNOG00000010708"
"66","Stat3","ENSRNOG00000019742"
"67","Bhlha15","ENSRNOG00000025164"
"68","Meis1","ENSRNOG00000004606"
"69","Ctcf","ENSRNOG00000017674"
"70","Junb","ENSRNOG00000067725"
"71","Barx1","ENSRNOG00000016915"
"72","Irf8","ENSRNOG00000017869"
"73","Mef2b","ENSRNOG00000020400"
"74","Tcf4","ENSRNOG00000012405"
"75","Bcl11a","ENSRNOG00000007049"
"76","Egr2","ENSRNOG00000000640"
"77","Gata3","ENSRNOG00000019336"
